IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 15:02:32 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 15:02:32 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 15:02:57 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: index.html 	 Data e Hora: 23 10 2014 15:02:57 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: facom.png 	 Data e Hora: 23 10 2014 15:02:57 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 15:03:03 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: post.html 	 Data e Hora: 23 10 2014 15:03:24 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: style.css 	 Data e Hora: 23 10 2014 15:03:25 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 15:03:25 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 15:03:25 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: POST 	 Arquivo requisitado: actions.php 	 Data e Hora: 23 10 2014 15:03:50 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: jdhd 	 Data e Hora: 23 10 2014 15:03:50 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 15:03:57 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 15:12:58 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 15:12:59 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 15:13:02 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 15:13:02 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 15:13:08 GMT 
