max: 0	max2: 32766	min: 2	min2: 2	total_time: 262585883
max: 434892032	max2: 0	min: 2	min2: 2	total_time: 262585889
max: 0	max2: 0	min: 2	min2: 2	total_time: 697477925
max: 0	max2: 0	min: 2	min2: 2	total_time: 697477929
max: 0	max2: 0	min: 2	min2: 2	total_time: 697477933
max: 0	max2: 0	min: 2	min2: 2	total_time: 697477937
max: 0	max2: 0	min: 2	min2: 2	total_time: 697477941
max: 0	max2: 32757	min: 2	min2: 2	total_time: 697477945
max: 622777578	max2: 32766	min: 2	min2: 2	total_time: 697477951
max: 434893208	max2: 0	min: 2	min2: 2	total_time: 1320255535
max: 4197632	max2: 0	min: 2	min2: 2	total_time: 1755148747
max: 4197665	max2: 32757	min: 2	min2: 2	total_time: 1759346383
max: 622792745	max2: 32766	min: 2	min2: 2	total_time: 1763544054
max: 434893184	max2: 32757	min: 2	min2: 2	total_time: -1908630491
max: 626402304	max2: 0	min: 2	min2: 2	total_time: -1473737301
max: 0	max2: 32757	min: 2	min2: 2	total_time: -847334993
max: 622970445	max2: 0	min: 2	min2: 2	total_time: -847334987
max: 0	max2: 0	min: 2	min2: 2	total_time: -224364538
max: 5	max2: 0	min: 2	min2: 2	total_time: -224364534
max: 4197632	max2: 32757	min: 2	min2: 2	total_time: -224364525
max: 626402304	max2: 0	min: 2	min2: 2	total_time: -220166887
max: 5	max2: 0	min: 2	min2: 2	total_time: 406235421
max: -1	max2: 32757	min: 2	min2: 2	total_time: 406235430
max: 626402304	max2: 32757	min: 2	min2: 2	total_time: 406235435
max: 622978469	max2: 0	min: 2	min2: 2	total_time: 1032637745
max: 4197632	max2: 0	min: 2	min2: 2	total_time: 1655616218
max: -1	max2: 32757	min: 2	min2: 2	total_time: 1659813854
max: 626402304	max2: 0	min: 2	min2: 2	total_time: 1659813859
max: 0	max2: 0	min: 2	min2: 2	total_time: -2008751129
max: 0	max2: 0	min: 2	min2: 2	total_time: -2008751125
max: 0	max2: 0	min: 2	min2: 2	total_time: -2008751121
max: 821620885	max2: 0	min: 2	min2: 2	total_time: -2008751117
max: 1430833640	max2: 0	min: 2	min2: 2	total_time: -1187130228
max: 821620885	max2: 0	min: 2	min2: 2	total_time: 243703416
max: 1430833640	max2: 0	min: 2	min2: 2	total_time: 1065324305
max: 821620885	max2: 0	min: 2	min2: 2	total_time: -1798809347
max: 1430833640	max2: 0	min: 2	min2: 2	total_time: -977188458
max: 0	max2: 0	min: 2	min2: 2	total_time: 453645186
max: 4096	max2: 0	min: 2	min2: 2	total_time: 453645190
max: 0	max2: 0	min: 2	min2: 2	total_time: 453649290
max: 0	max2: 0	min: 2	min2: 2	total_time: 453649294
max: 1000	max2: 1000	min: 2	min2: 2	total_time: 453649298
max: 33204	max2: 0	min: 2	min2: 2	total_time: 453650304
max: 1	max2: 0	min: 2	min2: 2	total_time: 453683512
max: 3550567	max2: 0	min: 2	min2: 2	total_time: 453683517
max: 2053	max2: 32757	min: 2	min2: 2	total_time: 457234088
max: 622921990	max2: 0	min: 2	min2: 2	total_time: 457236147
max: 4096	max2: 32757	min: 2	min2: 2	total_time: 1080158141
max: 626402304	max2: 0	min: 2	min2: 2	total_time: 1080162243
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564551
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564555
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564559
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564563
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564567
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564571
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564575
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564579
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564583
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564587
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564591
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564595
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564599
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564603
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564607
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564611
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564615
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564619
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564623
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564627
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564631
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564635
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564639
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564643
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564647
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564651
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564655
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564659
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564663
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564667
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564671
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564675
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706564679
